Video Tag,Clip Id,Labels,Frame Number,X,Y,Width,Height,Person Id
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19532,41.96519959,4.873194587,44.21699079,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19538,41.56483562,4.874640404,44.21699079,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19544,41.16447166,4.876086221,44.21699079,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19550,40.76410769,4.877532039,44.21699079,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19556,39.64672825,5.014136052,44.21699079,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19562,37.78453949,5.104723454,44.21699079,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19568,35.90845379,5.104723454,44.21699079,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19574,36.04779667,5.068196276,44.21699079,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19580,36.59022527,5.024363662,44.21699079,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19586,37.13265387,4.980531047,44.21699079,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19592,37.67508248,4.936698433,44.21699079,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19598,38.21751108,4.892865819,44.21699079,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19604,37.97369216,4.878254948,44.64161924,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19610,37.33674948,4.878254948,45.27856191,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19616,36.69980681,4.878254948,45.91550459,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19622,36.06286413,4.878254948,46.55244726,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19628,34.04481742,4.878254948,48.48769143,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19634,34.67539067,4.878254948,47.36030289,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19640,35.30596392,4.878254948,46.23291436,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19646,35.93653717,4.878254948,45.10552582,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19652,36.56711042,4.878254948,43.97813728,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19658,37.19768367,4.878254948,42.85074875,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19664,37.82825692,4.878254948,41.72336021,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19670,38.14354354,4.878254948,41.15966595,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19676,38.14354354,4.878254948,41.15966595,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19682,38.14354354,4.878254948,41.15966595,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19688,38.14354354,4.878254948,41.15966595,94.80268395,0
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19694,38.14354354,4.878254948,41.15966595,94.80268395,0
aJKL0ahn1Dk,1,"[['Fear'], ['Fear'], ['Fear']]",19700,14.52229299,1.082802548,55.41401274,97.78485492,1
aJKL0ahn1Dk,1,"[['Fear'], ['Fear'], ['Fear']]",19706,16.68789809,0.403397028,55.41401274,98.91719745,1
aJKL0ahn1Dk,1,"[['Fear'], ['Fear'], ['Fear']]",19712,20.38216561,0.092592593,55.41401274,98.91719745,1
aJKL0ahn1Dk,1,"[['Fear'], ['Fear'], ['Fear']]",19718,21.6985138,0.092592593,56.77282378,98.99268695,1
aJKL0ahn1Dk,1,"[['Fear'], ['Fear'], ['Fear']]",19724,22.91033807,0.092592593,59.49044586,98.88235614,1
aJKL0ahn1Dk,1,"[['Fear'], ['Fear'], ['Fear']]",19730,22.02841744,0.092592593,59.49044586,98.67330829,1
aJKL0ahn1Dk,1,"[['Fear'], ['Fear'], ['Fear']]",19736,21.14649682,0.092592593,59.49044586,98.46426044,1
aJKL0ahn1Dk,1,"[['Fear'], ['Fear'], ['Fear']]",19742,17.27934486,0.108179153,59.49044586,98.27014458,1
aJKL0ahn1Dk,1,"[['Fear'], ['Fear'], ['Fear']]",19748,16.24203822,0.201698514,59.49044586,98.46426044,1
aJKL0ahn1Dk,1,"[['Fear'], ['Fear'], ['Fear']]",19754,15.20473157,0.295217875,59.49044586,98.6583763,1
aJKL0ahn1Dk,1,"[['Fear'], ['Fear'], ['Fear']]",19760,14.02335456,0.310804435,59.49044586,98.59636707,1
aJKL0ahn1Dk,1,"[['Fear'], ['Fear'], ['Fear']]",19766,12.81316348,0.310804435,59.49044586,98.48313281,1
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19772,10.12216769,2.033227756,68.91719745,96.87898089,2
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19778,10.20987783,2.100054529,68.91719745,96.87898089,2
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19784,10.29758797,2.166881301,68.91719745,96.87898089,2
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19790,10.38529811,2.233708074,68.91719745,96.87898089,2
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19796,10.47300825,2.300534846,68.91719745,96.87898089,2
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19802,10.56071839,2.367361619,68.91719745,96.87898089,2
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19808,10.64842853,2.434188391,68.91719745,96.87898089,2
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19814,10.73613867,2.501015164,68.91719745,96.87898089,2
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19820,10.8238488,2.567841936,68.91719745,96.87898089,2
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19826,10.91155894,2.634668709,68.91719745,96.87898089,2
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19832,9.617834395,2.498230715,68.91719745,96.87898089,2
aJKL0ahn1Dk,1,"[['Happy'], ['Happy'], ['Happy']]",19838,7.675159236,2.441613588,63.43949045,96.87898089,2
aJKL0ahn1Dk,1,"[['Happy'], ['Neutral'], ['Happy']]",19844,29.42675159,3.347487615,52.10191083,95.56970984,0
aJKL0ahn1Dk,1,"[['Happy'], ['Neutral'], ['Happy']]",19850,17.57961783,3.347487615,80.12738854,95.56970984,0
aJKL0ahn1Dk,1,"[['Happy'], ['Neutral'], ['Happy']]",19856,15.41401274,3.347487615,82.88497565,95.56970984,0
aJKL0ahn1Dk,1,"[['Happy'], ['Neutral'], ['Happy']]",19862,16.94267516,3.347487615,78.16410641,95.56970984,0
aJKL0ahn1Dk,1,"[['Happy'], ['Neutral'], ['Happy']]",19868,18.47133758,3.347487615,73.44323717,95.56970984,0
aJKL0ahn1Dk,1,"[['Happy'], ['Neutral'], ['Happy']]",19874,27.33757962,3.347487615,56.63694268,95.56970984,0
aJKL0ahn1Dk,1,"[['Happy'], ['Neutral'], ['Happy']]",19880,42.92993631,3.347487615,36.81528662,95.56970984,0
aJKL0ahn1Dk,1,"[['Happy'], ['Neutral'], ['Happy']]",19886,39.71974522,3.347487615,40.63694268,95.56970984,0
aJKL0ahn1Dk,1,"[['Happy'], ['Neutral'], ['Happy']]",19892,34.94692144,3.347487615,45.81740977,95.56970984,0
aJKL0ahn1Dk,1,"[['Happy'], ['Neutral'], ['Happy']]",19898,29.04458599,3.347487615,51.71974522,95.56970984,0
aJKL0ahn1Dk,1,"[['Happy'], ['Neutral'], ['Happy']]",19904,24.50955414,3.347487615,56.91719745,95.56970984,0
aJKL0ahn1Dk,1,"[['Happy'], ['Neutral'], ['Happy']]",19910,25.57035321,3.347487615,57.88071801,95.56970984,0
aJKL0ahn1Dk,1,"[['Happy'], ['Neutral'], ['Happy']]",19916,29.66994789,3.347487615,51.90503764,95.56970984,0
aJKL0ahn1Dk,1,"[['Happy'], ['Neutral'], ['Happy']]",19922,35.92356688,3.347487615,44.7133758,95.56970984,0
aJKL0ahn1Dk,1,"[['Happy'], ['Neutral'], ['Happy']]",19928,39.83786914,3.347487615,40.79907354,95.56970984,0
